
state,area,category,number,date
alaska,Southeast,Hotels and Other Lodgings,0,2023-01-11
alaska,Southeast,Healthcare,0,2023-01-11
alaska,Southeast,Senior Facilities/Communities,0,2023-01-11
alaska,Southeast,Disability/AFN Organizations,0,2023-01-11
alaska,Southeast,Non-Profit Organizations,0,2023-01-11
alaska,Southeast,Neighborhood Groups,0,2023-01-11
alaska,Southeast,Preparedness Organizations,0,2023-01-11
alaska,Southeast,Faith-based Organizations,0,2023-01-11
alaska,Southeast,"Museums, Libraries, Parks, etc.",0,2023-01-11
alaska,Southeast,Volunteer/Service Clubs,0,2023-01-11
alaska,Southeast,Youth Organizations,0,2023-01-11
alaska,Southeast,Animal Shelter/Service Providers,0,2023-01-11
alaska,Southeast,Agriculture/Livestock Sector,0,2023-01-11
alaska,Southeast,Volunteer Radio Groups,0,2023-01-11
alaska,Southeast,Science/Engineering Organizations,0,2023-01-11
alaska,Southeast,Media Organizations,0,2023-01-11
alaska,Southeast,Other,0,2023-01-11
alaska,Other Areas,Individuals/Families,0,2023-01-11
alaska,Other Areas,Childcare and Pre-Schools,0,2023-01-11
alaska,Other Areas,K-12 Schools and Districts,0,2023-01-11
alaska,Other Areas,Colleges and Universities,0,2023-01-11
alaska,Other Areas,Local Government,0,2023-01-11
alaska,Other Areas,State Government,0,2023-01-11
alaska,Other Areas,Federal/National Government (Including Military),0,2023-01-11
alaska,Other Areas,Tribes/Indigenous Peoples,0,2023-01-11
alaska,Other Areas,Businesses,0,2023-01-11
alaska,Other Areas,Hotels and Other Lodgings,0,2023-01-11
alaska,Other Areas,Healthcare,0,2023-01-11
alaska,Other Areas,Senior Facilities/Communities,0,2023-01-11
alaska,Other Areas,Disability/AFN Organizations,0,2023-01-11
alaska,Other Areas,Non-Profit Organizations,0,2023-01-11
alaska,Other Areas,Neighborhood Groups,0,2023-01-11
alaska,Other Areas,Preparedness Organizations,0,2023-01-11
alaska,Other Areas,Faith-based Organizations,0,2023-01-11
alaska,Other Areas,"Museums, Libraries, Parks, etc.",0,2023-01-11
alaska,Other Areas,Volunteer/Service Clubs,0,2023-01-11
alaska,Other Areas,Youth Organizations,0,2023-01-11
alaska,Other Areas,Animal Shelter/Service Providers,0,2023-01-11
alaska,Other Areas,Agriculture/Livestock Sector,0,2023-01-11
alaska,Other Areas,Volunteer Radio Groups,0,2023-01-11
alaska,Other Areas,Science/Engineering Organizations,0,2023-01-11
alaska,Other Areas,Media Organizations,0,2023-01-11
alaska,Other Areas,Other,0,2023-01-11
alaska,Mulitple,Individuals/Families,0,2023-01-11
alaska,Mulitple,Childcare and Pre-Schools,0,2023-01-11
alaska,Mulitple,K-12 Schools and Districts,0,2023-01-11
alaska,Mulitple,Colleges and Universities,0,2023-01-11
alaska,Mulitple,Local Government,0,2023-01-11
alaska,Mulitple,State Government,0,2023-01-11
alaska,Mulitple,Federal/National Government (Including Military),0,2023-01-11
alaska,Mulitple,Tribes/Indigenous Peoples,0,2023-01-11
alaska,Mulitple,Businesses,0,2023-01-11
alaska,Mulitple,Hotels and Other Lodgings,0,2023-01-11
alaska,Mulitple,Healthcare,0,2023-01-11
alaska,Mulitple,Senior Facilities/Communities,0,2023-01-11
alaska,Mulitple,Disability/AFN Organizations,0,2023-01-11
alaska,Mulitple,Non-Profit Organizations,0,2023-01-11
alaska,Mulitple,Neighborhood Groups,0,2023-01-11
alaska,Mulitple,Preparedness Organizations,0,2023-01-11
alaska,Mulitple,Faith-based Organizations,0,2023-01-11
alaska,Mulitple,"Museums, Libraries, Parks, etc.",0,2023-01-11
alaska,Mulitple,Volunteer/Service Clubs,0,2023-01-11
alaska,Mulitple,Youth Organizations,0,2023-01-11
alaska,Mulitple,Animal Shelter/Service Providers,0,2023-01-11
alaska,Mulitple,Agriculture/Livestock Sector,0,2023-01-11
alaska,Mulitple,Volunteer Radio Groups,0,2023-01-11
alaska,Mulitple,Science/Engineering Organizations,0,2023-01-11
alaska,Mulitple,Media Organizations,0,2023-01-11
alaska,Mulitple,Other,0,2023-01-11
alaska,Unorganized,Individuals/Families,0,2023-01-11
alaska,Unorganized,Childcare and Pre-Schools,0,2023-01-11
alaska,Unorganized,K-12 Schools and Districts,0,2023-01-11
alaska,Unorganized,Colleges and Universities,0,2023-01-11
alaska,Unorganized,Local Government,0,2023-01-11
alaska,Unorganized,State Government,0,2023-01-11
alaska,Unorganized,Federal/National Government (Including Military),0,2023-01-11
alaska,Unorganized,Tribes/Indigenous Peoples,0,2023-01-11
alaska,Unorganized,Businesses,0,2023-01-11
alaska,Unorganized,Hotels and Other Lodgings,0,2023-01-11
alaska,Unorganized,Healthcare,0,2023-01-11
alaska,Unorganized,Senior Facilities/Communities,0,2023-01-11
alaska,Unorganized,Disability/AFN Organizations,0,2023-01-11
alaska,Unorganized,Non-Profit Organizations,0,2023-01-11
alaska,Unorganized,Neighborhood Groups,0,2023-01-11
alaska,Unorganized,Preparedness Organizations,0,2023-01-11
alaska,Unorganized,Faith-based Organizations,0,2023-01-11
alaska,Unorganized,"Museums, Libraries, Parks, etc.",0,2023-01-11
alaska,Unorganized,Volunteer/Service Clubs,0,2023-01-11
alaska,Unorganized,Youth Organizations,0,2023-01-11
alaska,Unorganized,Animal Shelter/Service Providers,0,2023-01-11
alaska,Unorganized,Agriculture/Livestock Sector,0,2023-01-11
alaska,Unorganized,Volunteer Radio Groups,0,2023-01-11
alaska,Unorganized,Science/Engineering Organizations,0,2023-01-11
alaska,Unorganized,Media Organizations,0,2023-01-11
alaska,Unorganized,Other,0,2023-01-11
americansamoa,American Samoa,Individuals/Families,0,2023-01-11
americansamoa,American Samoa,Childcare and Pre-Schools,0,2023-01-11
americansamoa,American Samoa,K-12 Schools and Districts,0,2023-01-11
americansamoa,American Samoa,Colleges and Universities,0,2023-01-11
americansamoa,American Samoa,Local Government,0,2023-01-11
americansamoa,American Samoa,State Government,0,2023-01-11
americansamoa,American Samoa,Federal/National Government (Including Military),0,2023-01-11
americansamoa,American Samoa,Tribes/Indigenous Peoples,0,2023-01-11
americansamoa,American Samoa,Businesses,0,2023-01-11
americansamoa,American Samoa,Hotels and Other Lodgings,0,2023-01-11
americansamoa,American Samoa,Healthcare,0,2023-01-11
americansamoa,American Samoa,Senior Facilities/Communities,0,2023-01-11
americansamoa,American Samoa,Disability/AFN Organizations,0,2023-01-11
americansamoa,American Samoa,Non-Profit Organizations,0,2023-01-11
americansamoa,American Samoa,Neighborhood Groups,0,2023-01-11
americansamoa,American Samoa,Preparedness Organizations,0,2023-01-11
americansamoa,American Samoa,Faith-based Organizations,0,2023-01-11
americansamoa,American Samoa,"Museums, Libraries, Parks, etc.",0,2023-01-11
americansamoa,American Samoa,Volunteer/Service Clubs,0,2023-01-11
americansamoa,American Samoa,Youth Organizations,0,2023-01-11
americansamoa,American Samoa,Animal Shelter/Service Providers,0,2023-01-11
americansamoa,American Samoa,Agriculture/Livestock Sector,0,2023-01-11
americansamoa,American Samoa,Volunteer Radio Groups,0,2023-01-11
americansamoa,American Samoa,Science/Engineering Organizations,0,2023-01-11
americansamoa,American Samoa,Media Organizations,0,2023-01-11
americansamoa,American Samoa,Other,0,2023-01-11
americansamoa,Other,Individuals/Families,0,2023-01-11
americansamoa,Other,Childcare and Pre-Schools,0,2023-01-11
americansamoa,Other,K-12 Schools and Districts,0,2023-01-11
americansamoa,Other,Colleges and Universities,0,2023-01-11
americansamoa,Other,Local Government,0,2023-01-11
americansamoa,Other,State Government,0,2023-01-11
americansamoa,Other,Federal/National Government (Including Military),0,2023-01-11
americansamoa,Other,Tribes/Indigenous Peoples,0,2023-01-11
americansamoa,Other,Businesses,0,2023-01-11
americansamoa,Other,Hotels and Other Lodgings,0,2023-01-11
americansamoa,Other,Healthcare,0,2023-01-11
americansamoa,Other,Senior Facilities/Communities,0,2023-01-11
americansamoa,Other,Disability/AFN Organizations,0,2023-01-11
americansamoa,Other,Non-Profit Organizations,0,2023-01-11
americansamoa,Other,Neighborhood Groups,0,2023-01-11
americansamoa,Other,Preparedness Organizations,0,2023-01-11
americansamoa,Other,Faith-based Organizations,0,2023-01-11
americansamoa,Other,"Museums, Libraries, Parks, etc.",0,2023-01-11
americansamoa,Other,Volunteer/Service Clubs,0,2023-01-11
americansamoa,Other,Youth Organizations,0,2023-01-11
americansamoa,Other,Animal Shelter/Service Providers,0,2023-01-11
americansamoa,Other,Agriculture/Livestock Sector,0,2023-01-11
americansamoa,Other,Volunteer Radio Groups,0,2023-01-11
americansamoa,Other,Science/Engineering Organizations,0,2023-01-11
americansamoa,Other,Media Organizations,0,2023-01-11
americansamoa,Other,Other,0,2023-01-11
arizona,Mohave,Individuals/Families,0,2023-01-11
arizona,Mohave,Childcare and Pre-Schools,0,2023-01-11
arizona,Mohave,K-12 Schools and Districts,0,2023-01-11
arizona,Mohave,Colleges and Universities,0,2023-01-11
arizona,Mohave,Local Government,0,2023-01-11
arizona,Mohave,State Government,0,2023-01-11
arizona,Mohave,Federal/National Government (Including Military),0,2023-01-11
arizona,Mohave,Tribes/Indigenous Peoples,0,2023-01-11
arizona,Mohave,Businesses,0,2023-01-11
arizona,Mohave,Hotels and Other Lodgings,0,2023-01-11
arizona,Mohave,Healthcare,0,2023-01-11
arizona,Mohave,Senior Facilities/Communities,0,2023-01-11
arizona,Mohave,Disability/AFN Organizations,0,2023-01-11
arizona,Mohave,Non-Profit Organizations,0,2023-01-11
arizona,Mohave,Neighborhood Groups,0,2023-01-11
arizona,Mohave,Preparedness Organizations,0,2023-01-11
arizona,Mohave,Faith-based Organizations,0,2023-01-11
arizona,Mohave,"Museums, Libraries, Parks, etc.",0,2023-01-11
arizona,Mohave,Volunteer/Service Clubs,0,2023-01-11
arizona,Mohave,Youth Organizations,0,2023-01-11
arizona,Mohave,Animal Shelter/Service Providers,0,2023-01-11
arizona,Mohave,Agriculture/Livestock Sector,0,2023-01-11
arizona,Mohave,Volunteer Radio Groups,0,2023-01-11
arizona,Mohave,Science/Engineering Organizations,0,2023-01-11
arizona,Mohave,Media Organizations,0,2023-01-11
arizona,Mohave,Other,0,2023-01-11
arizona,Coconino,Individuals/Families,0,2023-01-11
arizona,Coconino,Childcare and Pre-Schools,0,2023-01-11
arizona,Coconino,K-12 Schools and Districts,0,2023-01-11
arizona,Coconino,Colleges and Universities,0,2023-01-11
arizona,Coconino,Local Government,0,2023-01-11
arizona,Coconino,State Government,0,2023-01-11
arizona,Coconino,Federal/National Government (Including Military),0,2023-01-11
arizona,Coconino,Tribes/Indigenous Peoples,0,2023-01-11
arizona,Coconino,Businesses,0,2023-01-11
arizona,Coconino,Hotels and Other Lodgings,0,2023-01-11
arizona,Coconino,Healthcare,0,2023-01-11
arizona,Coconino,Senior Facilities/Communities,0,2023-01-11
arizona,Coconino,Disability/AFN Organizations,0,2023-01-11
arizona,Coconino,Non-Profit Organizations,0,2023-01-11
arizona,Coconino,Neighborhood Groups,0,2023-01-11
arizona,Coconino,Preparedness Organizations,0,2023-01-11
arizona,Coconino,Faith-based Organizations,0,2023-01-11
arizona,Coconino,"Museums, Libraries, Parks, etc.",0,2023-01-11
arizona,Coconino,Volunteer/Service Clubs,0,2023-01-11
arizona,Coconino,Youth Organizations,0,2023-01-11
arizona,Coconino,Animal Shelter/Service Providers,0,2023-01-11
arizona,Coconino,Agriculture/Livestock Sector,0,2023-01-11
arizona,Coconino,Volunteer Radio Groups,0,2023-01-11
arizona,Coconino,Science/Engineering Organizations,0,2023-01-11
arizona,Coconino,Media Organizations,0,2023-01-11
arizona,Coconino,Other,0,2023-01-11
arizona,Navajo,Individuals/Families,0,2023-01-11
arizona,Navajo,Childcare and Pre-Schools,0,2023-01-11
arizona,Navajo,K-12 Schools and Districts,0,2023-01-11
arizona,Navajo,Colleges and Universities,0,2023-01-11
arizona,Navajo,Local Government,0,2023-01-11
arizona,Navajo,State Government,0,2023-01-11
arizona,Navajo,Federal/National Government (Including Military),0,2023-01-11
arizona,Navajo,Tribes/Indigenous Peoples,0,2023-01-11
arizona,Navajo,Businesses,0,2023-01-11
arizona,Navajo,Hotels and Other Lodgings,0,2023-01-11
arizona,Navajo,Healthcare,0,2023-01-11
arizona,Navajo,Senior Facilities/Communities,0,2023-01-11
arizona,Navajo,Disability/AFN Organizations,0,2023-01-11
arizona,Navajo,Non-Profit Organizations,0,2023-01-11
arizona,Navajo,Neighborhood Groups,0,2023-01-11
arizona,Navajo,Preparedness Organizations,0,2023-01-11
arizona,Navajo,Faith-based Organizations,0,2023-01-11
arizona,Navajo,"Museums, Libraries, Parks, etc.",0,2023-01-11
arizona,Navajo,Volunteer/Service Clubs,0,2023-01-11
arizona,Navajo,Youth Organizations,0,2023-01-11
arizona,Navajo,Animal Shelter/Service Providers,0,2023-01-11
arizona,Navajo,Agriculture/Livestock Sector,0,2023-01-11
arizona,Navajo,Volunteer Radio Groups,0,2023-01-11
arizona,Navajo,Science/Engineering Organizations,0,2023-01-11
arizona,Navajo,Media Organizations,0,2023-01-11
arizona,Navajo,Other,0,2023-01-11
arizona,Apache,Individuals/Families,0,2023-01-11
arizona,Apache,Childcare and Pre-Schools,0,2023-01-11
arizona,Apache,K-12 Schools and Districts,0,2023-01-11
arizona,Apache,Colleges and Universities,0,2023-01-11
arizona,Apache,Local Government,0,2023-01-11
arizona,Apache,State Government,0,2023-01-11
arizona,Apache,Federal/National Government (Including Military),0,2023-01-11
arizona,Apache,Tribes/Indigenous Peoples,0,2023-01-11
arizona,Apache,Businesses,0,2023-01-11
arizona,Apache,Hotels and Other Lodgings,0,2023-01-11
arizona,Apache,Healthcare,0,2023-01-11
arizona,Apache,Senior Facilities/Communities,0,2023-01-11
arizona,Apache,Disability/AFN Organizations,0,2023-01-11
arizona,Apache,Non-Profit Organizations,0,2023-01-11
arizona,Apache,Neighborhood Groups,0,2023-01-11
arizona,Apache,Preparedness Organizations,0,2023-01-11
arizona,Apache,Faith-based Organizations,0,2023-01-11
arizona,Apache,"Museums, Libraries, Parks, etc.",0,2023-01-11
arizona,Apache,Volunteer/Service Clubs,0,2023-01-11
arizona,Apache,Youth Organizations,0,2023-01-11
arizona,Apache,Animal Shelter/Service Providers,0,2023-01-11
arizona,Apache,Agriculture/Livestock Sector,0,2023-01-11
arizona,Apache,Volunteer Radio Groups,0,2023-01-11
arizona,Apache,Science/Engineering Organizations,0,2023-01-11
arizona,Apache,Media Organizations,0,2023-01-11
arizona,Apache,Other,0,2023-01-11
arizona,La Paz,Individuals/Families,0,2023-01-11
arizona,La Paz,Childcare and Pre-Schools,0,2023-01-11
arizona,La Paz,K-12 Schools and Districts,0,2023-01-11
arizona,La Paz,Colleges and Universities,0,2023-01-11
arizona,La Paz,Local Government,0,2023-01-11
arizona,La Paz,State Government,0,2023-01-11
arizona,La Paz,Federal/National Government (Including Military),0,2023-01-11
arizona,La Paz,Tribes/Indigenous Peoples,0,2023-01-11
arizona,La Paz,Businesses,0,2023-01-11
arizona,La Paz,Hotels and Other Lodgings,0,2023-01-11
arizona,La Paz,Healthcare,0,2023-01-11
arizona,La Paz,Senior Facilities/Communities,0,2023-01-11
arizona,La Paz,Disability/AFN Organizations,0,2023-01-11
arizona,La Paz,Non-Profit Organizations,0,2023-01-11
arizona,La Paz,Neighborhood Groups,0,2023-01-11
arizona,La Paz,Preparedness Organizations,0,2023-01-11
arizona,La Paz,Faith-based Organizations,0,2023-01-11
arizona,La Paz,"Museums, Libraries, Parks, etc.",0,2023-01-11
arizona,La Paz,Volunteer/Service Clubs,0,2023-01-11
arizona,La Paz,Youth Organizations,0,2023-01-11
arizona,La Paz,Animal Shelter/Service Providers,0,2023-01-11
arizona,La Paz,Agriculture/Livestock Sector,0,2023-01-11
arizona,La Paz,Volunteer Radio Groups,0,2023-01-11
arizona,La Paz,Science/Engineering Organizations,0,2023-01-11
arizona,La Paz,Media Organizations,0,2023-01-11
arizona,La Paz,Other,0,2023-01-11
arizona,Yavapai,Individuals/Families,0,2023-01-11
arizona,Yavapai,Childcare and Pre-Schools,0,2023-01-11
arizona,Yavapai,K-12 Schools and Districts,0,2023-01-11
arizona,Yavapai,Colleges and Universities,0,2023-01-11
arizona,Yavapai,Local Government,0,2023-01-11
arizona,Yavapai,State Government,0,2023-01-11
arizona,Yavapai,Federal/National Government (Including Military),0,2023-01-11
arizona,Yavapai,Tribes/Indigenous Peoples,0,2023-01-11
arizona,Yavapai,Businesses,0,2023-01-11
arizona,Yavapai,Hotels and Other Lodgings,0,2023-01-11
arizona,Yavapai,Healthcare,0,2023-01-11
arizona,Yavapai,Senior Facilities/Communities,0,2023-01-11
arizona,Yavapai,Disability/AFN Organizations,0,2023-01-11
arizona,Yavapai,Non-Profit Organizations,0,2023-01-11
arizona,Yavapai,Neighborhood Groups,0,2023-01-11
arizona,Yavapai,Preparedness Organizations,0,2023-01-11
arizona,Yavapai,Faith-based Organizations,0,2023-01-11
arizona,Yavapai,"Museums, Libraries, Parks, etc.",0,2023-01-11
arizona,Yavapai,Volunteer/Service Clubs,0,2023-01-11
arizona,Yavapai,Youth Organizations,0,2023-01-11
arizona,Yavapai,Animal Shelter/Service Providers,0,2023-01-11
arizona,Yavapai,Agriculture/Livestock Sector,0,2023-01-11
arizona,Yavapai,Volunteer Radio Groups,0,2023-01-11
arizona,Yavapai,Science/Engineering Organizations,0,2023-01-11
arizona,Yavapai,Media Organizations,0,2023-01-11
arizona,Yavapai,Other,0,2023-01-11
arizona,Gila,Individuals/Families,0,2023-01-11
arizona,Gila,Childcare and Pre-Schools,0,2023-01-11
arizona,Gila,K-12 Schools and Districts,0,2023-01-11
arizona,Gila,Colleges and Universities,0,2023-01-11
arizona,Gila,Local Government,0,2023-01-11
arizona,Gila,State Government,0,2023-01-11
arizona,Gila,Federal/National Government (Including Military),0,2023-01-11
arizona,Gila,Tribes/Indigenous Peoples,0,2023-01-11
arizona,Gila,Businesses,0,2023-01-11
arizona,Gila,Hotels and Other Lodgings,0,2023-01-11
arizona,Gila,Healthcare,0,2023-01-11
arizona,Gila,Senior Facilities/Communities,0,2023-01-11
arizona,Gila,Disability/AFN Organizations,0,2023-01-11
arizona,Gila,Non-Profit Organizations,0,2023-01-11
arizona,Gila,Neighborhood Groups,0,2023-01-11
arizona,Gila,Preparedness Organizations,0,2023-01-11
arizona,Gila,Faith-based Organizations,0,2023-01-11
arizona,Gila,"Museums, Libraries, Parks, etc.",0,2023-01-11
arizona,Gila,Volunteer/Service Clubs,0,2023-01-11
arizona,Gila,Youth Organizations,0,2023-01-11
arizona,Gila,Animal Shelter/Service Providers,0,2023-01-11
arizona,Gila,Agriculture/Livestock Sector,0,2023-01-11
arizona,Gila,Volunteer Radio Groups,0,2023-01-11
arizona,Gila,Science/Engineering Organizations,0,2023-01-11
arizona,Gila,Media Organizations,0,2023-01-11
arizona,Gila,Other,0,2023-01-11
arizona,Maricopa,Individuals/Families,0,2023-01-11
arizona,Maricopa,Childcare and Pre-Schools,0,2023-01-11
arizona,Maricopa,K-12 Schools and Districts,0,2023-01-11
arizona,Maricopa,Colleges and Universities,0,2023-01-11
arizona,Maricopa,Local Government,0,2023-01-11
arizona,Maricopa,State Government,0,2023-01-11
arizona,Maricopa,Federal/National Government (Including Military),0,2023-01-11
arizona,Maricopa,Tribes/Indigenous Peoples,0,2023-01-11
arizona,Maricopa,Businesses,0,2023-01-11
arizona,Maricopa,Hotels and Other Lodgings,0,2023-01-11
arizona,Maricopa,Healthcare,0,2023-01-11
arizona,Maricopa,Senior Facilities/Communities,0,2023-01-11
arizona,Maricopa,Disability/AFN Organizations,0,2023-01-11
arizona,Maricopa,Non-Profit Organizations,0,2023-01-11
arizona,Maricopa,Neighborhood Groups,0,2023-01-11
arizona,Maricopa,Preparedness Organizations,0,2023-01-11
